Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Zero-Back Task,subject001,-5,9.6,9.9,1.5,1.1,9,8.8,6.1,6.2,8.8,8,2.2,5.1,1.4,6.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject001,-6,8.4,6.8,1,5.6,4.4,9.3,6,6.3,9,9,8,7.8,6.3,3.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject002,-12,9,9.5,8.8,9.8,4,9,8.4,3,2.5,8.7,1.9,7.3,7,8.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject002,-9,9.3,9.1,6.3,3.3,3.9,7.1,9,1,3.6,7.7,6.8,9,8,4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject003,-10,8.1,1.7,5.6,1,1,6.1,2.7,2.5,4.8,1.8,7.7,6,6.6,1.7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject003,13,7.6,8.6,1,1,1,7.5,2.2,4.9,3.3,3.6,1,6.7,7.5,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject004,12,4.3,5.5,5.8,7.9,2.8,2.3,9.4,3.7,6.6,4.7,6.8,4.8,4.6,5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject004,-10,6.8,7.2,8.4,5,5,5.7,6.6,3,1.7,6,7,6.9,3,7,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject005,7,6.4,2.7,10,3.4,1,3.5,2,2.2,4.1,5.5,1,4.3,7.9,7.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject005,-7,7.6,2.3,10,2.3,2.6,3.4,2.3,3.5,7,9.3,1,4.6,3.6,10,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject006,8,1,1,3.2,5,2,3.6,8,1,2.9,1,1,4.6,4.4,4.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject006,-12,2.5,8.1,1,6,6.4,1.4,5.4,1,1,4,1,2.6,6.8,7.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject007,5,3.6,3,5,2,6.2,5.2,5.2,5.3,5.5,4.5,5.8,6.6,5.3,4.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject007,14,6.3,8.1,7.3,1.1,5.3,6,6,3.5,3,3.7,7.8,4.7,6.5,6.3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject008,13,5,8.4,8,7.8,7.2,3.7,8.3,4.6,2.1,6.4,7.7,5.8,9.5,7.5,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject008,-11,7.2,7.7,7,5,5,3.1,7.5,5.3,7.6,5.8,7.1,7.3,7.3,7.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject009,-10,8.4,1,5.3,1,2.9,1,1,9,1,2.6,1,3,1,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject009,-12,3.1,1.2,4.1,1,1.4,8.1,3.8,7,5,1.9,2.5,4.1,1,1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject010,-7,5,7,9,7,4,4,2,9,2,5,2,8,2,3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject010,7,8,10,7,6,10,3,8,9,6,9,2,10,6,4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject011,9,4.5,10,5.3,8.6,3.9,3.4,2.1,3,6.2,8,3,7.1,1.1,5.1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject011,-7,7.5,6.5,2.7,4.7,3,1.9,5.3,5,3.9,6.8,7,6.8,1.3,6.8,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject012,9,9.9,1,1,1,1.7,1,1.3,1,9.7,10,6.2,9,2.1,2.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject012,-10,9.4,1.2,1,2.5,1.6,1,1,1,7,9.6,1.6,10,5,7.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject013,-5,8.4,5.5,3.8,5,4,7,5,4.6,2.6,7.5,5.6,3.8,5.9,5.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject013,11,7.4,7,6.1,5,2.8,7.2,4,3.3,3.6,7.4,8.4,4.5,8,4.2,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject014,-15,8.2,8.6,6.7,9.4,7.2,7.9,3.4,9.1,2,5,7.9,2.3,6.2,2.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject014,14,7.7,8,2.5,8.5,5.8,7,7,2,5.2,6.9,6.8,7.7,6.3,3.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject015,-5,4,5.8,1,10,1,5.6,5.4,2.6,6.9,1,1,5,5.4,1.4,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject015,11,8.9,5.4,1,10,5,8.7,9,8,1,1.8,5.1,5.7,6.3,2.6,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject016,-8,4.6,2,1.1,8.4,2,5.4,4.7,8.2,8.6,8.2,1.1,3.1,3,7.3,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject016,7,7.5,1.8,1,9.3,1.2,6.8,8.4,4.5,9.1,2.7,9,2.3,9,9.1,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject017,11,4,7.7,3,2,8,7,4.5,6,6.6,5,3.6,6.8,5.7,8,0.092938575,-0.060981684,-0.3893953
