Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
You Task,017,11,5.90000000000001,8,3.3,8.7,5.6,1,4.50000000000002,1,1,3.00000000000001,5.6,1.9,1,5.50000000000001,10,10,-.068702623,.051618542,.14160951,-.605515845178116,-1.10018782456332,1.36048309089881,-1.04587988443459
You Task,017,13,8.09999999999999,5.40000000000001,1,10,7.29999999999999,1,9.49999999999999,1,3.2,6.50000000000001,3.1,2.5,2,5.50000000000002,9,9.29999999999999,-.068702623,.051618542,.14160951,-.832803618129537,-.564040933632471,1.78840873119632,-.616807610835895
You Task,017,-10,6.6,1,1,10,6.30000000000001,1,6.3,1,3.5,1,5.50000000000001,4.6,1,5,10,6.8,-.068702623,.051618542,.14160951,-.20105812744081,-1.33053419186048,.923248074979458,-.759930184713902
Friend Task,017,13,10,10,1,7.40000000000001,7.00000000000001,7.59999999999999,9,1,5.6,3.3,8.4,4.90000000000001,1,5.8,1.1,10,.066229557,.061472443,.208842324,.381814743122208,-.697625069031541,1.60214169576584,-1.15553242551077
Friend Task,017,11,7.39999999999999,10,1,10,3,8.6,7.90000000000001,1,5.60000000000001,3.60000000000002,5.7,6.80000000000001,1,8.59999999999999,3.10000000000001,10,.066229557,.061472443,.208842324,.248861348071768,-.603912535140535,1.79756007507374,-1.514140026596
Friend Task,017,-13,10,10,2,10,2,9.3,2.9,1.50000000000001,5.50000000000002,2.8,6.10000000000001,6.89999999999999,1,5.20000000000001,1,10,.066229557,.061472443,.208842324,.393137616772991,-.977992797916834,1.19766452106677,-.845489055532862
Two-Back Task-faces,017,-10,10,8,8.89999999999999,10,1.20000000000001,10,8,1,2,1.80000000000001,8.39999999999999,10,8.20000000000001,5.5,5.3,10,-.025340712,.386745896,-.434225517,1.93280114160205,-.437449259943162,.835425740956833,-.296085261918451
Two-Back Task-faces,017,8,9.49999999999999,7.69999999999999,10,10,1,8.6,9,1,8.7,2,10,10,10,5.60000000000002,5.8,10,-.025340712,.386745896,-.434225517,2.12184762863515,-.55566173260611,.94590578973883,.775792780527326
Two-Back Task-scenes,017,-15,10,1,10,10,1,7.79999999999999,7.39999999999999,2.20000000000001,9,1.80000000000001,10,8.59999999999999,8.19999999999999,5.00000000000002,2.5,7.49999999999999,-.130999829,.464204275,-.426960277,2.16451349942483,-.938435390405515,-.174886628869564,1.22334082780879
Two-Back Task-scenes,017,12,10,1,8.09999999999999,10,1,9.49999999999999,7.49999999999999,1,6.4,2.4,9,9.99999999999999,8,5.6,5.7,10,-.130999829,.464204275,-.426960277,2.25874676678259,-.6695391409995,.281358954119287,.447888728617576
Easy Math Task,017,-15,10,1,10,10,1,1,7.49999999999999,1,9,1,10,7.90000000000001,1,2.70000000000001,6.4,10,-.124954138,.332221971,-.020870498,1.68317918356514,-2.66159711330858,1.00637793001127,1.38393130710371
Easy Math Task,017,-6,9,10,10,10,1,1,10,7.49999999999999,6.50000000000001,8.6,4.8,9.2,8.49999999999999,1.8,10,8,-.124954138,.332221971,-.020870498,-.10222330758953,-.0991401181992584,1.69291757684853,2.0993783403297
Easy Math Task,017,-6,10,1,10,10,1,3,8.19999999999999,1,8,1,10,10,1,3,3.10000000000001,10,-.124954138,.332221971,-.020870498,2.08545151101895,-2.51558339386234,.813956939528665,1.08660450930763
Hard Math Task,017,-11,10,1,10,10,1,1,6.40000000000001,1,10,1,10,10,1,1,2.3,8.69999999999999,-.275798122,.402380589,-.407389088,1.83217502256639,-2.8130402243447,.560230644672341,1.70028236234162
Hard Math Task,017,5,3.1,5.70000000000001,10,10,1,6.50000000000001,10,4.50000000000002,10,10,10,4.00000000000001,1,1,7.29999999999999,7.19999999999999,-.275798122,.402380589,-.407389088,-.401336492977242,-1.15319835304328,1.63960361352815,1.67538856203853
Hard Math Task,017,-5,10,1,10,10,1,4,10,2.20000000000001,10,1,10,10,1,3.2,4.1,9.99999999999999,-.275798122,.402380589,-.407389088,1.94963284006926,-2.40436140746029,1.19566831486698,1.35669235927916
Reading Task,017,5,2.8,1.1,1,10,1,3.8,6.50000000000001,1,8.3,2.9,3.10000000000002,5.00000000000001,1,7.40000000000001,6.3,9.39999999999999,-.19586954,-.014883893,.326889586,-.486569292219682,-1.52936817700775,1.14773397199351,-.479725902309778
Reading Task,017,-12,2.7,5.9,1,10,5,5.6,7,1,6.2,1.7,3.30000000000001,3.10000000000002,1,8.09999999999999,2.1,10,-.19586954,-.014883893,.326889586,-.667697993749656,-1.11766304193033,1.32182716370185,-1.22538882998812
Reading Task,017,11,7.4,1,1,10,1,8.29999999999999,7.10000000000001,1,6.1,3.70000000000002,1.9,4.1,1,6.49999999999999,1,10,-.19586954,-.014883893,.326889586,-.223104260025907,-1.30902731717702,.957895294874928,-.554080914208853
Memory Task,017,11,3.1,10,1,8.49999999999999,8,8.20000000000001,9.99999999999999,4.20000000000002,3.1,1,8.8,8,1,10,9.79999999999999,10,-.036691414,.115884583,.323863964,.26574703483165,.0936870038526313,2.11762779001908,-2.30414913539508
Memory Task,017,5,8.30000000000001,7.39999999999999,7.1,9.99999999999999,5.40000000000002,10,10,1,5.9,3.30000000000001,8,8.09999999999999,2.8,2.20000000000001,10,10,-.036691414,.115884583,.323863964,.708577969015627,-.754276030388819,2.05208641583175,.0778379521134252
Memory Task,017,6,3,8.7,6.89999999999999,10,1,3,6.1,2.80000000000001,4.20000000000001,4.6,3.7,8.8,10,1,10,5.80000000000001,-.036691414,.115884583,.323863964,-.571923772663218,-.395004609186562,.865466468403653,.870189765738467
One-Back Task,017,12,10,1,7.70000000000001,10,1,4.7,4.80000000000001,1,10,1,10,10,4.00000000000001,6.3,1.7,8.59999999999999,-.009918255,-.030028992,-.537272264,2.30185454888628,-1.58845579155927,-.0876815019041565,.676723763341358
One-Back Task,017,-7,10,1,7.29999999999999,10,1,2.60000000000001,6.40000000000001,1,10,1,10,10,1,7.50000000000001,1.80000000000001,10,-.009918255,-.030028992,-.537272264,2.30911811998175,-2.05543875269512,.448079699271614,.417737140077194
One-Back Task,017,8,9.59999999999999,1,9.09999999999999,10,1,2.1,4.9,1,10,1,10,10,6.2,8,2.1,8,-.009918255,-.030028992,-.537272264,2.54204440040797,-1.355731339427,-.467861518723245,.815843240073732
Zero-Back Task,017,-12,5.2,1,8,7.69999999999999,1,7.70000000000001,10,6.3,4,6.5,2.8,2.80000000000002,7.6,4.70000000000001,4.3,10,.092938821,-.060981931,-.389395513,-.403343662634939,-.251448393027954,.521065572396712,1.00892736448809
Zero-Back Task,017,10,3.10000000000001,1,2.5,10,1,8.2,7.00000000000001,1,4.8,7.3,2.9,2.3,7.5,4.60000000000001,5,8.7,.092938821,-.060981931,-.389395513,-.756883588787366,-.365871049848908,.48874308671193,.0325684218459828
Zero-Back Task,017,13,2,1,1.7,10,1,6.30000000000001,3.8,3.20000000000002,4.60000000000001,8.39999999999999,1,2.70000000000002,4.7,2.3,9.49999999999999,2.6,.092938821,-.060981931,-.389395513,-1.97282401746689,-.106050407978588,.132536941284254,.298973389817817
GoNoGo Task,017,8,3.40000000000002,1,7.39999999999999,8,1,5.9,3.60000000000001,7.3,2.9,8.79999999999999,3.1,1,1,1.70000000000001,8.59999999999999,3.2,-.31702636,.036362577,-.159410417,-1.7435445452203,-.386249022767085,-.0821704533915498,.960199704456439
GoNoGo Task,017,-9,8.69999999999999,1,5.40000000000001,6.1,1,10,7.3,1,10,1,10,7.1,1.1,5.6,1,10,-.31702636,.036362577,-.159410417,1.57836276204513,-1.6764319392651,.407029077775824,.0694237893268761
GoNoGo Task,017,-12,6.00000000000001,1,3.80000000000001,9.69999999999999,1,6.3,4.4,10,3.30000000000001,7.10000000000001,1.8,7.90000000000001,5.6,1,10,6.90000000000001,-.31702636,.036362577,-.159410417,-1.07827819727206,.0626024188204607,.616692606180643,1.1768153193827
