Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
You Task,17,11,5.9,8,3.3,8.7,5.6,1,4.5,1,1,3,5.6,1.9,1,5.5,10,10,-0.068702623,0.051618542,0.14160951,-0.39622,-0.81089,0.7363,0.52024
You Task,17,13,8.1,5.4,1,10,7.3,1,9.5,1,3.2,6.5,3.1,2.5,2,5.5,9,9.3,-0.068702623,0.051618542,0.14160951,-0.42284,-0.239,1.2411,0.23818
You Task,17,-10,6.6,1,1,10,6.3,1,6.3,1,3.5,1,5.5,4.6,1,5,10,6.8,-0.068702623,0.051618542,0.14160951,-0.04692,-1.03458,0.22356,0.38429
Friend Task,17,13,10,10,1,7.4,7,7.6,9,1,5.6,3.3,8.4,4.9,1,5.8,1.1,10,0.066229557,0.061472443,0.208842324,0.27085,-1.19668,1.95897,0.34933
Friend Task,17,11,7.4,10,1,10,3,8.6,7.9,1,5.6,3.6,5.7,6.8,1,8.6,3.1,10,0.066229557,0.061472443,0.208842324,0.19133,-1.13045,1.99375,0.81487
Friend Task,17,-13,10,10,2,10,2,9.3,2.9,1.5,5.5,2.8,6.1,6.9,1,5.2,1,10,0.066229557,0.061472443,0.208842324,0.30536,-1.45646,1.54155,0.01954
Two-Back Task-faces,17,-10,10,8,8.9,10,1.2,10,8,1,2,1.8,8.4,10,8.2,5.5,5.3,10,-0.025340712,0.386745896,-0.434225517,1.77182,-0.69998,0.83058,0.24677
Two-Back Task-faces,17,8,9.5,7.7,10,10,1,8.6,9,1,8.7,2,10,10,10,5.6,5.8,10,-0.025340712,0.386745896,-0.434225517,2.19458,-0.31356,0.77525,-0.7176
Two-Back Task-scenes,17,-15,10,1,10,10,1,7.8,7.4,2.2,9,1.8,10,8.6,8.2,5,2.5,7.5,-0.130999829,0.464204275,-0.426960277,2.07969,-0.64866,-0.28688,-1.07118
Two-Back Task-scenes,17,12,10,1,8.1,10,1,9.5,7.5,1,6.4,2.4,9,10,8,5.6,5.7,10,-0.130999829,0.464204275,-0.426960277,2.17564,-0.58127,0.02076,-0.16795
Easy Math Task,17,-15,10,1,10,10,1,1,7.5,1,9,1,10,7.9,1,2.7,6.4,10,-0.124954138,0.332221971,-0.020870498,2.15036,-1.54345,-0.13976,-1.7136
Easy Math Task,17,-6,9,10,10,10,1,1,10,7.5,6.5,8.6,4.8,9.2,8.5,1.8,10,8,-0.124954138,0.332221971,-0.020870498,0.78722,1.25285,0.80711,-1.86467
Easy Math Task,17,-6,10,1,10,10,1,3,8.2,1,8,1,10,10,1,3,3.1,10,-0.124954138,0.332221971,-0.020870498,2.33103,-1.75104,-0.02879,-1.42807
Hard Math Task,17,-11,10,1,10,10,1,1,6.4,1,10,1,10,10,1,1,2.3,8.7,-0.275798122,0.402380589,-0.407389088,2.17291,-1.79411,-0.31487,-2.15384
Hard Math Task,17,5,3.1,5.7,10,10,1,6.5,10,4.5,10,10,10,4,1,1,7.3,7.2,-0.275798122,0.402380589,-0.407389088,0.30264,0.03483,1.11581,-2.00235
Hard Math Task,17,-5,10,1,10,10,1,4,10,2.2,10,1,10,10,1,3.2,4.1,10,-0.275798122,0.402380589,-0.407389088,2.34398,-1.50024,0.31002,-1.66701
Reading Task,17,5,2.8,1.1,1,10,1,3.8,6.5,1,8.3,2.9,3.1,5,1,7.4,6.3,9.4,-0.19586954,-0.014883893,0.326889586,-0.23315,-1.16232,0.61876,-0.02367
Reading Task,17,-12,2.7,5.9,1,10,5,5.6,7,1,6.2,1.7,3.3,3.1,1,8.1,2.1,10,-0.19586954,-0.014883893,0.326889586,-0.7157,-1.34728,1.45595,0.37995
Reading Task,17,11,7.4,1,1,10,1,8.3,7.1,1,6.1,3.7,1.9,4.1,1,6.5,1,10,-0.19586954,-0.014883893,0.326889586,-0.16694,-1.50156,1.03763,-0.11307
Memory Task,17,11,3.1,10,1,8.5,8,8.2,10,4.2,3.1,1,8.8,8,1,10,9.8,10,-0.036691414,0.115884583,0.323863964,0.12466,-0.3512,1.96996,2.05266
Memory Task,17,5,8.3,7.4,7.1,10,5.4,10,10,1,5.9,3.3,8,8.1,2.8,2.2,10,10,-0.036691414,0.115884583,0.323863964,1.05999,-0.47715,1.70065,-0.37716
Memory Task,17,6,3,8.7,6.9,10,1,3,6.1,2.8,4.2,4.6,3.7,8.8,10,1,10,5.8,-0.036691414,0.115884583,0.323863964,-0.16364,0.3353,0.43873,-1.00242
One-Back Task,17,12,10,1,7.7,10,1,4.7,4.8,1,10,1,10,10,4,6.3,1.7,8.6,-0.009918255,-0.030028992,-0.537272264,2.19219,-1.29735,-0.47144,-0.7124
One-Back Task,17,-7,10,1,7.3,10,1,2.6,6.4,1,10,1,10,10,1,7.5,1.8,10,-0.009918255,-0.030028992,-0.537272264,2.32171,-1.62296,-0.24013,-0.58854
One-Back Task,17,8,9.6,1,9.1,10,1,2.1,4.9,1,10,1,10,10,6.2,8,2.1,8,-0.009918255,-0.030028992,-0.537272264,2.38442,-0.94606,-0.9822,-0.5952
Zero-Back Task,17,-12,5.2,1,8,7.7,1,7.7,10,6.3,4,6.5,2.8,2.8,7.6,4.7,4.3,10,0.092938821,-0.060981931,-0.389395513,-0.11079,0.30739,0.35693,-0.87967
Zero-Back Task,17,10,3.1,1,2.5,10,1,8.2,7,1,4.8,7.3,2.9,2.3,7.5,4.6,5,8.7,0.092938821,-0.060981931,-0.389395513,-0.65125,-0.27013,0.61573,-0.2702
Zero-Back Task,17,13,2,1,1.7,10,1,6.3,3.8,3.2,4.6,8.4,1,2.7,4.7,2.3,9.5,2.6,0.092938821,-0.060981931,-0.389395513,-1.66501,0.31132,0.01401,-0.41561
GoNoGo Task,17,8,3.4,1,7.4,8,1,5.9,3.6,7.3,2.9,8.8,3.1,1,1,1.7,8.6,3.2,-0.31702636,0.036362577,-0.159410417,-1.34135,0.43367,-0.47134,-0.90027
GoNoGo Task,17,-9,8.7,1,5.4,6.1,1,10,7.3,1,10,1,10,7.1,1.1,5.6,1,10,-0.31702636,0.036362577,-0.159410417,1.45497,-1.66854,0.34471,-0.43851
GoNoGo Task,17,-12,6,1,3.8,9.7,1,6.3,4.4,10,3.3,7.1,1.8,7.9,5.6,1,10,6.9,-0.31702636,0.036362577,-0.159410417,-0.53479,0.88171,0.08319,-0.8702
Finger Tapping Task,17,12,5,1,1,10,1,6,1.4,1,8.1,1.9,8.8,4.5,8,5,10,1.8,-0.090963574,-0.241336366,-0.170440839,-0.09036,-0.38401,-0.59533,0.0142
Finger Tapping Task,17,-9,8.5,10,2.7,10,1,6.2,6.6,2.5,5.2,1,3,4.7,6.7,10,10,4.9,-0.090963574,-0.241336366,-0.170440839,-0.22417,-0.11866,1.02712,0.73964
Finger Tapping Task,17,-6,3,9,1.8,5.7,4.8,2.7,2.5,2.1,4,3.6,2.1,3,6.5,10,5,4.7,-0.090963574,-0.241336366,-0.170440839,-1.31762,0.224,-0.17672,1.28821
Movie Task-incept,17,7,3.5,4,7.8,5.4,1,4.1,2.1,5.4,4.2,6,2,3.1,3.1,5,2,1.9,-0.293453447,0.376771714,0.156545561,-1.1949,0.07481,-1.06966,-0.43099
Movie Task-incept,17,7,3.5,4,7.8,5.4,1,4.1,2.1,5.4,4.2,6,2,3.1,3.1,5,2,1.9,-0.293453447,0.376771714,0.156545561,-1.1949,0.07481,-1.06966,-0.43099
Movie Task-bridge,17,5,1,1,1,9.3,3,6.5,2.6,1.1,7,6.4,2,2.3,3.5,5.5,1,2.6,-0.055046289,0.280933569,0.317858122,-1.59456,-0.51639,-0.17409,-0.01186
Movie Task-bridge,17,5,1,1,1,9.3,3,6.5,2.6,1.1,7,6.4,2,2.3,3.5,5.5,1,2.6,-0.055046289,0.280933569,0.317858122,-1.59456,-0.51639,-0.17409,-0.01186
You Task,18,-9,3,1,7,4.8,3,1,10,5.3,1,10,5,5.3,10,5.3,10,10,-0.068702623,0.051618542,0.14160951,0.15333,1.35677,-0.73038,0.21927
You Task,18,11,1,1,5,1,1,1,10,10,1,5.4,5.9,1,10,5.3,10,10,-0.068702623,0.051618542,0.14160951,-0.80073,0.99937,-0.6435,-0.15464
You Task,18,-10,5.3,1,5.4,1,1,1,10,5.6,1,5.7,5.9,1,10,5.1,10,10,-0.068702623,0.051618542,0.14160951,-0.16873,0.6189,-0.77563,-0.06981
Friend Task,18,9,5.8,10,5.5,4.6,3.9,7.4,10,5.2,8.3,6.3,5.7,5.2,2.6,5.4,4.4,9.9,0.066229557,0.061472443,0.208842324,-0.14852,0.19179,1.45208,-0.4411
Friend Task,18,-6,6.1,10,8.8,10,10,6.9,10,1.4,5.6,8.3,6.1,5.8,10,7,10,10,0.066229557,0.061472443,0.208842324,0.64996,1.56544,1.13989,0.49967
Friend Task,18,5,6.1,10,9.5,10,10,10,10,1,10,5.8,10,10,10,9.4,10,10,0.066229557,0.061472443,0.208842324,1.77877,1.47393,1.10284,0.92734
